"","gene","Granulocytes 1","Granulocytes 2","Granulocytes 3","Granulocytes 4","Granulocytes 5","Granulocytes 6","Granulocytes 7","C7","Granulocytes 8"
"1329","Mapkbp1",0.01269239076009,0.00789321768368015,0.0192300547657431,0.0132043938865911,0.00988841120098465,0.0182814419355114,0,0.0753027507549269,0
"1330","Jmjd7",0.00182976421642254,0,0.0127534040591606,0.0035210436121133,0,0.0104015915963808,0.0242045311805925,0.0213548646704443,0.0258996298111517
"1331","Ehd4",0.0616814719259775,0.0126313921902102,0.0443676099332149,0.014336218633365,0.0444175870167827,0.0505956960015353,0.120229443913982,0.250589336988507,0.0405787139354097
"1332","Vps39",0.0457660901690627,0.0875969654472705,0.0601146136548866,0.093166408382046,0.0623838847912984,0.175202786707276,0.0738871682001306,0.132001226355204,0.147281510504107
"1333","Tmem87a",0.0545182150841736,0.121781014743562,0.228580007992129,0.0476957450536464,0.0483607981239226,0.181086365113557,0.106837483177948,0.123198923227705,0.0506459748267366
"1334","Ganc",0.0105754315482017,0.016867977338531,0.0919675311068511,0.00469616329633278,0.0127973772337273,0.0206188634866382,0.00305972230642379,0.0346784297270194,0.0183176091945557
"1335","Zfp106",0.690688471057242,0.904036016431203,0.867776033926063,0.780678490437183,0.794903189418253,0.90869992712602,0.852676191351704,0.565357131198114,0.816073084336794
"1336","Snap23",1.12070335494521,0.995329467888084,1.04363550662796,0.825252009936322,0.864379684769428,1.19255463388723,1.27905202543218,0.539904266335467,0.800170074198926
"1337","Lrrc57",0.0421884606069085,0.0725699160954851,0.112675558005695,0.0571696354097699,0.105012014161627,0.102906323829189,0.141608216751225,0.0347237934286228,0.0306837226413972
"1338","Haus2",0.0142591542416565,0.026229036302319,0.122644843944839,0.0682799474516383,0.0763940008197595,0.0812314115784905,0.0682766611636811,0.0501628111046774,0.0423506919690992
"1339","Stard9",0.0110458484543096,0.0393633663729946,0.0937902704636057,0.0154210824602029,0.0325894967045378,0.234591220860741,0.0702139711266348,0.0765047915377459,0
"1340","Cdan1",0.00225263544317268,0.0130049616980085,0.0637142834914707,0.00379740093708889,0.0127302547589455,0.0598988009206385,0.0265127652876252,0.0417913415873452,0
"1341","Ttbk2",0.00358806893391419,0.00893196720013396,0.00619837823469676,0.00334712884762406,0,0,0.0381851196577098,0.0400437323684877,0
"1342","Ubr1",0.0770922192965979,0.0450264864858869,0.143433686251652,0.0252307430030438,0.0365946686246146,0.0655188982059835,0.0765874103434726,0.0823916849998983,0.013861196354736
"1343","Tmem62",0.0104004062080216,0.00454220884813105,0.0345496660753561,0.0086669532431036,0.00474024623871092,0,0,0.0144005259688994,0
"1344","Ccndbp1",0.198722072338478,0.1684406393424,0.31943474957274,0.109880936169788,0.192272198059678,0.277345266636044,0.25122726434884,0.257636569359961,0.0817505536581661
"1345","Lcmt2",0.00194342970335922,0.00576233654656452,0.0594824514340641,0.00297568963905495,0.00264164514569991,0.054127381228563,0.044716743798192,0.0240773495887188,0
"1346","Adal",0,0,0.0196422179284903,0.00082859080344929,0,0.0307625452566309,0,0.00682352907489505,0
"1347","Zscan29",0.0610263274510651,0.0718139715468085,0.138479284557451,0.0910297923997986,0.0908063780238147,0.228522305934936,0.131014855351795,0.0722534747443191,0.00795137970578235
"1348","Tubgcp4",0.0418408587485118,0.126904813444363,0.22434988846952,0.0312901821252637,0.0628868828874842,0.308658562620391,0.1059808848332,0.0561872563129749,0.0527426980828946
"1349","Trp53bp1",0.0494994457864358,0.0400214370140595,0.0543191324276766,0.0171034591182656,0.0502736979847238,0.0867366450810034,0.0433855048790342,0.074636080023023,0.00655267399335219
"1350","Ppip5k1",0.0207090444405596,0.0397177505185001,0.0628700687808601,0.0114895145995437,0.0302532119035563,0.0730149637778267,0.0329338607199716,0.0269908959744155,0.0816764329208297
"1351","Catsper2",0,0.00116367251378425,0,0,0,0,0,0.0203577244956786,0
"1352","Pdia3",0.111670002819338,0.242615454023759,0.60064691191583,0.195313333780438,0.363963485478124,0.513549616022474,0.428882575415406,0.775496207116536,0.206370490227759
"1353","Serinc4",0.00476341854214171,0.00698522376697824,0,0,0,0.00482207511669376,0.0111411586213095,0,0
"1354","Serf2",2.18895570866933,2.44321203085264,2.82310343709901,2.11967752592961,2.48891550867873,2.70960362523309,2.32998786569161,2.6364593979041,2.2020594966358
"1355","Hypk",0.117483720163789,0.303807262965515,0.704837481184203,0.179325782812459,0.379523546749619,0.486579108620127,0.20822362170141,0.541674773427862,0.174222815945991
"1356","Mfap1b",0.202323051699664,0.248405380763567,0.416809317756078,0.170182057592774,0.233499865656564,0.221136855389667,0.370126086318027,0.235978825341313,0.245501282989039
"1357","Mfap1a",0.108729418928789,0.0952437165266538,0.200234063612803,0.077916102815417,0.186638135014372,0.169798024117862,0.255928687291155,0.0706771076382618,0
"1358","Wdr76",0.00588972120191903,0,0.0844782699908823,0.011407502207125,0,0.0778481036488968,0,0.0347644685041414,0
"1359","Ctdspl2",0.0997800841938137,0.27260541894946,0.361300956986092,0.25394278857731,0.214628402092974,0.265816590380124,0.307977661323599,0.2788077404542,0.246867771853927
"1360","Eif3j1",0.191791021174481,0.395990232113376,1.07502788413767,0.371193654618186,0.551435466189279,0.748639160107004,0.431392310168545,0.482243020090938,0.470079996227038
"1361","Spg11",0.0324616109063628,0.107830846225232,0.128506239981137,0.0456684452310226,0.0903640574690106,0.164084707627091,0.120601353895965,0.0811697530734237,0.182416940047464
"1362","B2m",2.59368938333815,2.89802060158848,3.10864534028422,2.71967936522981,2.89907703937503,3.34447649451273,3.66006114190522,3.39404828785171,2.98348430023258
"1363","Trim69",0.00204113542532971,0.00236871513268961,0.00366104983027479,0.00871241951944576,0.00650949035504955,0,0.0583955811894731,0.0048697394801471,0.0443032328716147
"1364","Sord",0.0109146777816844,0.0169329202230723,0.0358904032742669,0.00340571688817086,0.0150782220780616,0.0111983253100295,0.0601925576102513,0.0609484864324037,0
"1365","Shf",0.00648560867161074,0.0188255953607628,0.0259570751189873,0.00332852815441762,0.0373617145345922,0.0165621540020028,0.0274518689057046,0.0185458811212873,0.00679823825241067
"1366","Slc28a2",0.126314569184214,0.0389459710065507,0.0632976264879329,0.0351219841916131,0.0405257586754914,0.0288882053573521,0.205314756795635,0.142336036459449,0.327888523028345
"1367","Gatm",0.00400760884812735,0.00518294472459891,0.0581261134368616,0.00289754994836438,0.0149078612956973,0.012486115518662,0.0120862290342502,0.0611178760854804,0
"1368","Spata5l1",0.00345927263058647,0,0.0135348054032743,0.00383039793443004,0,0,0,0.0191229274302437,0.0646219622490552
"1369","AA467197",1.43966022182491,2.1132045362982,2.27909802161657,2.22345704858781,2.6153992781697,2.09574780913366,2.32371656214365,3.10780565335145,1.80431925129525
"1370","Slc30a4",0.000619216384138309,0,0,0,0,0,0.00876241646903464,0.014516570498872,0
"1371","Bloc1s6os",0.0227512693793208,0.0414023097643944,0.0839835100599941,0.0484888362511379,0.0406769437265604,0.0574357064292144,0.0402577520362878,0.00677026820794426,0.0817918749539632
"1372","Bloc1s6",0.0784789565621422,0.112212880296314,0.237690252624139,0.0884530374315209,0.199205303573248,0.198902518236364,0.171487546141597,0.138326874885154,0.120711642131212
"1373","Sqor",0.320255863417364,0.271725524008795,0.424875816766807,0.176121665339732,0.46706596020122,0.390734910888314,0.391819183910409,0.388145144517348,0.105766680271879
"1374","Sema6d",0,0,0,0,0,0,0,0.0422606636875938,0
"1375","Slc24a5",0.00142135080090712,0,0,0,0,0,0,0.0745965977776498,0
"1376","Myef2",0,0,0,0,0,0,0,0.0983309439453775,0
"1377","Dut",0,0,0.00795588025395992,0,0,0,0.00438971476469028,0.0462222843363098,0
"1378","Cep152",0.000913229896203274,0.0202273388445919,0.0387873023211547,0.00105908271739349,0.0108393826418299,0.0097476159273693,0.0090242406279448,0.0109612481272164,0.00565908446878784
"1379","Shc4",0.00668686801763775,0.00224301440207414,0.00154086559318006,0.00242337530793963,0,0,0.0136398176066941,0.0081240692917213,0.0692422477853336
"1380","Eid1",0.182531297792654,0.633836972379429,0.651439287078638,0.385036880649428,0.619422112229404,0.431882215176127,0.502788641701386,1.03798732609196,0.542942382318793
"1381","Secisbp2l",0.229074068349671,0.189118067990211,0.333520982099294,0.234945801842189,0.256831309639101,0.194635904655056,0.259879139286453,0.354593936868778,0.183800541734267
"1382","Cops2",0.130089366494244,0.197878852663359,0.200640135063959,0.134616089563371,0.113232475753558,0.198754147625617,0.11769626207202,0.368475401476758,0.181871599396054
