"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"A930007I19Rik",2.79411288044852e-12,-0.672227566078419,0.114,0.303,4.68153613119149e-08,"Granulocytes 1","A930007I19Rik"
"Arhgap25",2.85492654163521e-12,0.675355934122239,0.229,0.071,4.78342942050979e-08,"Granulocytes 1","Arhgap25"
"Ttc7",3.08122721443915e-12,0.679513400305676,0.257,0.084,5.16259619779279e-08,"Granulocytes 1","Ttc7"
"Dock8",3.32162259541727e-12,0.564702782462713,0.208,0.054,5.56537865862163e-08,"Granulocytes 1","Dock8"
"Hist1h2ap",3.49273318933454e-12,0.732461555781732,0.18,0.039,5.85207445873003e-08,"Granulocytes 1","Hist1h2ap"
"Tpd52",3.50496565820265e-12,0.577609825594451,0.82,0.652,5.87256996031853e-08,"Granulocytes 1","Tpd52"
"Nudt4",3.59654716250137e-12,0.540101619543912,0.549,0.318,6.02601477077105e-08,"Granulocytes 1","Nudt4"
"Glipr1",3.89802181738093e-12,0.673735692575407,0.316,0.124,6.53113555502176e-08,"Granulocytes 1","Glipr1"
"Atp5e",4.10121125088824e-12,0.513710174993245,0.878,0.73,6.87157945086325e-08,"Granulocytes 1","Atp5e"
"Nlrp3",4.36020091480343e-12,-1.0492976159926,0.19,0.363,7.30551663275314e-08,"Granulocytes 1","Nlrp3"
"Cd244a",4.77377311607074e-12,0.607604656795769,0.182,0.041,7.99845685597653e-08,"Granulocytes 1","Cd244a"
"C5ar1",4.86022321287912e-12,0.59444796197563,0.469,0.247,8.14330399317897e-08,"Granulocytes 1","C5ar1"
"Fam129a",4.91747640587628e-12,0.569286972127984,0.169,0.034,8.2392317180457e-08,"Granulocytes 1","Fam129a"
"Ipcef1",5.48330127364224e-12,0.397979314050588,0.104,0.006,9.18727128398758e-08,"Granulocytes 1","Ipcef1"
"Fpr2",5.52356368222859e-12,-0.776540309115503,0.278,0.479,9.25473094957401e-08,"Granulocytes 1","Fpr2"
"Kctd12",5.69565341473128e-12,0.740661802942784,0.394,0.189,9.54306729638226e-08,"Granulocytes 1","Kctd12"
"Pold4",6.30704262189588e-12,0.634995020912441,0.314,0.124,1.05674499129865e-07,"Granulocytes 1","Pold4"
"Mapk13",6.4526866123658e-12,0.399416954253648,0.116,0.011,1.08114764190189e-07,"Granulocytes 1","Mapk13"
"Bloc1s2",6.62679257320403e-12,0.612945590924392,0.247,0.079,1.11031909564033e-07,"Granulocytes 1","Bloc1s2"
"Itga4",7.98838343866438e-12,0.671832967884182,0.159,0.03,1.33845364514822e-07,"Granulocytes 1","Itga4"
"Mdh2",8.1155175070708e-12,0.692482259905734,0.461,0.255,1.35975495830971e-07,"Granulocytes 1","Mdh2"
"Upp1",8.24534423670272e-12,-0.899065771724801,0.286,0.479,1.38150742685954e-07,"Granulocytes 1","Upp1"
"Sipa1",8.37107525324606e-12,0.642578126212877,0.237,0.073,1.40257365868138e-07,"Granulocytes 1","Sipa1"
"Chsy1",1.13034270278841e-11,0.504907275494658,0.114,0.011,1.89388919852199e-07,"Granulocytes 1","Chsy1"
"Ubl5",1.17161966306255e-11,0.48329893596314,0.886,0.719,1.9630487454613e-07,"Granulocytes 1","Ubl5"
"Pbx1",1.34971475519703e-11,0.664267244428304,0.206,0.056,2.26144707233262e-07,"Granulocytes 1","Pbx1"
"Zbp1",1.44592421652784e-11,-1.11659047571994,0.131,0.242,2.4226460247924e-07,"Granulocytes 1","Zbp1"
"Rps23",1.86653080966165e-11,0.423082652583995,0.914,0.762,3.1273723715881e-07,"Granulocytes 1","Rps23"
"Tst",2.12431980579845e-11,-0.564872621054449,0.033,0.131,3.55929783461531e-07,"Granulocytes 1","Tst"
"Eif5a",2.14590998422181e-11,0.596166158015207,0.596,0.395,3.59547217856364e-07,"Granulocytes 1","Eif5a"
"Twf2",2.16256422074433e-11,0.627274891332729,0.322,0.135,3.62337635185713e-07,"Granulocytes 1","Twf2"
