"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mrpl13.1",1.32117393397383e-08,0.385113770289979,0.262,0.152,0.000221362692637316,"Microglia 2","Mrpl13"
"Stambpl1.1",1.32332669164717e-08,-0.223702753152782,0.038,0.125,0.000221723387185483,"Microglia 2","Stambpl1"
"Sirt3.1",1.34265239698216e-08,-0.217311529427484,0.023,0.094,0.000224961409114362,"Microglia 2","Sirt3"
"Tm9sf4.1",1.34539444280341e-08,-0.343027386413993,0.174,0.308,0.000225420838891712,"Microglia 2","Tm9sf4"
"Cyld.1",1.34828103373831e-08,-0.312189645133876,0.123,0.243,0.000225904487202853,"Microglia 2","Cyld"
"Nbea.1",1.35346082605397e-08,-0.229126074246256,0.021,0.096,0.000226772361405343,"Microglia 2","Nbea"
"Sash1.1",1.38244180816435e-08,0.278432165370228,0.103,0.03,0.000231628124957937,"Microglia 2","Sash1"
"Mtr.1",1.40025445765721e-08,-0.25884303678913,0.069,0.174,0.000234612634380465,"Microglia 2","Mtr"
"Usp3.1",1.43400592174366e-08,-0.294551024648873,0.075,0.175,0.00024026769218815,"Microglia 2","Usp3"
"Trpc4ap.1",1.47093117615618e-08,-0.337425699806762,0.197,0.335,0.000246454518564968,"Microglia 2","Trpc4ap"
"Zfp326.1",1.47098634045139e-08,-0.323446356635134,0.126,0.244,0.00024646376134263,"Microglia 2","Zfp326"
"Gsdme.1",1.50145453871294e-08,-0.238587062052758,0.027,0.104,0.000251568707961352,"Microglia 2","Gsdme"
"Ppdpf.1",1.52884524962906e-08,0.361841095537946,0.247,0.127,0.00025615802157535,"Microglia 2","Ppdpf"
"Zwilch.1",1.53994330411417e-08,0.119087106590325,0.04,0.002,0.00025801750060433,"Microglia 2","Zwilch"
"Eps15.1",1.56030095363454e-08,-0.20215752225224,0.098,0.207,0.000261428424781467,"Microglia 2","Eps15"
"Ttyh3.1",1.57953080838595e-08,-0.293436011425944,0.132,0.26,0.000264650386945067,"Microglia 2","Ttyh3"
"Cfdp1.1",1.58121414789428e-08,0.418828359308154,0.284,0.17,0.000264932430479686,"Microglia 2","Cfdp1"
"Acvr1.1",1.58404916747331e-08,-0.195587781061459,0.04,0.125,0.000265407438010154,"Microglia 2","Acvr1"
"Cdca5.1",1.60478470164399e-08,0.119197848597308,0.044,0.003,0.000268881676760451,"Microglia 2","Cdca5"
"Gm2000.1",1.62333137355045e-08,0.376400187874841,0.352,0.246,0.000271989171638379,"Microglia 2","Gm2000"
"Mpp1.1",1.63233036320354e-08,0.392121505117117,0.218,0.116,0.000273496952354753,"Microglia 2","Mpp1"
"Apoc1.1",1.63414090363991e-08,0.434087664781947,0.086,0.023,0.000273800308404867,"Microglia 2","Apoc1"
"Top1.1",1.65360560884551e-08,-0.257545074434769,0.4,0.559,0.000277061619762065,"Microglia 2","Top1"
"Rnaset2b",1.65412751384521e-08,-0.269871025106005,0.556,0.705,0.000277149064944765,"Microglia 2","Rnaset2b"
"Bard1.1",1.66715617730952e-08,0.121049444016929,0.036,0.001,0.00027933201750821,"Microglia 2","Bard1"
"Lrpap1.1",1.6876735547142e-08,0.326309530887805,0.592,0.547,0.000282769704092365,"Microglia 2","Lrpap1"
"Eif5.1",1.6989041348065e-08,-0.331342477883132,0.356,0.514,0.000284651387786829,"Microglia 2","Eif5"
"Gm37233.1",1.71863294841013e-08,-0.177040085785006,0.008,0.065,0.000287956950506117,"Microglia 2","Gm37233"
"Rabepk.1",1.72723160605609e-08,-0.29383201692936,0.04,0.122,0.000289397655594698,"Microglia 2","Rabepk"
"Brat1.1",1.7329177747533e-08,-0.198169764493637,0.015,0.084,0.000290350373159915,"Microglia 2","Brat1"
"Pyroxd1.1",1.7358814854676e-08,-0.20881449012933,0.015,0.084,0.000290846942890096,"Microglia 2","Pyroxd1"
"Pde2a.1",1.74311386470724e-08,-0.189308853769575,0.006,0.059,0.000292058728031699,"Microglia 2","Pde2a"
"Mpp7.1",1.75947501928438e-08,-0.184904845762784,0.011,0.076,0.000294800039481098,"Microglia 2","Mpp7"
"Smarca2.1",1.77212429151901e-08,-0.300127287645432,0.103,0.222,0.00029691942504401,"Microglia 2","Smarca2"
