"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmcc3",0.0962510316036098,0.0887126369206127,0.016,0.003,1
"Nr2c2",0.358253114005733,0.0886832572854883,0.086,0.062,1
"Arfgap3",0.202458867369738,0.088659906883951,0.055,0.031,1
"Mrpl38",0.0176279268872399,0.088614556867204,0.062,0.028,1
"Acox1",0.0771264430217962,0.0885601199587713,0.051,0.023,1
"Rpp38",0.0145840867301968,0.0885412039354935,0.023,0.003,1
"Iars2",0.197054683562776,0.0884814090426144,0.051,0.028,1
"Igip",0.212223440644463,0.0884485617465954,0.016,0.005,1
"Ccz1",0.379101104914913,0.0884167497304193,0.106,0.08,1
"Hmgcr",0.423031449924573,0.0884092010806621,0.058,0.041,1
"Gm15564",0.14400216619973,0.0883589942075161,0.03,0.026,1
"Ppme1",0.156577455245905,0.0883545955899687,0.102,0.069,1
"Slc30a6",0.0373377560509899,0.0882848759079013,0.039,0.013,1
"Dido1",0.443821947011775,0.0882833037918755,0.078,0.057,1
"Fam168b",0.0152714468224561,0.0882441130058093,0.171,0.118,1
"Mrps35",0.0372456417388838,0.0882305128523757,0.065,0.033,1
"Matr3",0.178401459804195,0.0882227702513437,0.139,0.103,1
"Tlcd1",0.0657238093284472,0.0881729430658105,0.023,0.005,1
"Usp24",0.00540426045943074,0.0880969383835531,0.065,0.028,1
"Rnf2",0.116347469827376,0.0880899439496334,0.085,0.054,1
"Rreb1",0.526681420282801,0.0879726543337873,0.086,0.069,1
"Rtf1",0.101215325168418,0.0879487491727973,0.215,0.167,1
"D630023F18Rik",0.376968670346261,0.087835714575695,0.014,0.005,1
"Psmg1",0.0666033530694145,0.0877992362081626,0.049,0.023,1
"Smc5",0.0829600400984114,0.0877826702261567,0.026,0.008,1
"Arl3",0.0161164580551461,0.0877770003064088,0.201,0.144,1
"Mettl16",0.0438456635933683,0.0877293138095252,0.041,0.015,1
"Iws1",0.106397986376934,0.0877136030752886,0.081,0.051,1
"Fam120a",0.389144348009054,0.0877112420765445,0.081,0.059,1
"Orc3",0.206583672204607,0.0876448126459368,0.051,0.028,1
"Polr1d",0.233245594424675,0.0876213121525784,0.434,0.38,1
"Rassf1",0.0380556882635853,0.0875798309412258,0.215,0.167,1
"Fdps",0.0708244609128534,0.0875582435863595,0.023,0.021,1
"Scfd1",0.493500220719394,0.0874937804848668,0.063,0.046,1
"Mvb12a",0.00330194241555176,0.0874431611063655,0.185,0.123,1
"Cnot4",0.0544278262040214,0.0874322234474973,0.162,0.121,1
"Dmtf1",0.314989838739795,0.087236511582567,0.085,0.059,1
"Il15ra",0.551279181929076,0.0872088385867687,0.032,0.021,1
"Wdr75",0.180457246750761,0.0872029069683611,0.03,0.013,1
"Ppp6c",0.610260440482301,0.0870571054718911,0.134,0.113,1
"Tubgcp4",0.192093429994495,0.086962188837941,0.069,0.044,1
"Appbp2",0.230795821884206,0.0869420570485238,0.081,0.059,1
"Tcp11l1",0.0479605751834605,0.0869057784221975,0.034,0.01,1
"Gosr2",0.50855898876023,0.0867596149326141,0.141,0.116,1
"Gm7480",0.0407631001812859,0.0866636121529109,0.019,0.003,1
"Blvra",0.000332892424676363,0.0866567176754441,0.072,0.031,1
"Dnm1l",0.0252780580780057,0.0866519115949101,0.037,0.01,1
"Coa3",0.192687271394995,0.0866387451078174,0.25,0.201,1
"Junos",0.0113917646215182,0.0866352421997943,0.056,0.023,1
