"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"C030010L15Rik",0.585769975102832,-0.00785267005130486,0.002,0.005,1
"Katna1",0.137595304085622,-0.0078712651489809,0.1,0.089,1
"Baiap2l2",0.63215696838258,-0.00787710241684729,0.002,0.004,1
"Hmgn3",0.7075447079759,-0.00789243586099289,0.056,0.06,1
"Mybpc3",0.775199221742741,-0.00789738135080767,0.005,0.007,1
"Bach2it1",0.119927207576883,-0.00789948234920695,0,0.003,1
"Espn",0.478983929667028,-0.00790655508497042,0.001,0.004,1
"Sec24d",0.819015292272367,-0.00793037634521851,0.037,0.038,1
"5830428M24Rik",0.0487225925019433,-0.00793724987087078,0,0.004,1
"Gm50203",0.478496691796169,-0.00793932389222329,0.001,0.003,1
"Zfp82",0.804661403779623,-0.00794520500157053,0.005,0.007,1
"Tgif1",0.810334483471213,-0.0079484276521396,0.166,0.168,1
"Atp9b",0.179886972024392,-0.00795337480549069,0.107,0.094,1
"Gm49654",0.855613561788371,-0.00795471975309828,0.003,0.004,1
"B130034C11Rik",0.223453280189974,-0.00796421948728173,0.007,0.005,1
"Sod1",0.334705732257654,-0.00796423239718447,0.315,0.313,1
"Gm32282",0.445993584380024,-0.00797244645111387,0.003,0.004,1
"Sept4",0.119927207576903,-0.00797476891268386,0,0.003,1
"1700007L15Rik",0.899930867199423,-0.00797534789563163,0.014,0.016,1
"Gsk3a",0.00367902151477234,-0.00797584717288574,0.109,0.086,1
"Klhdc3",0.901076160953233,-0.0079784734130843,0.079,0.085,1
"Tnfrsf4",0.717776192708329,-0.00798422490295283,0.003,0.004,1
"Nap1l2",0.119927207576902,-0.00798825780537894,0,0.003,1
"Pfn2",0.569649750530597,-0.00799384725392501,0.007,0.004,1
"Fam161b",0.478496691796032,-0.00799538624389674,0.001,0.003,1
"Aoah",0.360881936860294,-0.0079956301662291,0.02,0.019,1
"5330417C22Rik",0.119927207576906,-0.00799658010014405,0,0.003,1
"Lpar2",0.119927207576891,-0.007998670152923,0,0.003,1
"Emb",0.858178039179199,-0.00800725387833985,0.016,0.015,1
"Crym",0.119927207576872,-0.0080116175973634,0,0.003,1
"A430073D23Rik",0.69782225611208,-0.00802541050542551,0.002,0.004,1
"Gm43464",0.682803141572882,-0.00802978906227348,0.002,0.004,1
"Prnp",0.928981865025669,-0.00804582342927989,0.008,0.01,1
"Xlr4a",0.568406511845144,-0.00804674871917911,0.003,0.007,1
"1010001B22Rik",0.653807491090672,-0.00805146792653689,0.005,0.005,1
