"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cops8",0.000784250952109996,0.0941621490735809,0.14,0.187,1
"Pip4k2b",0.00124444322356415,0.0941549832923253,0.048,0.068,1
"Clk4",0.0397845214302988,0.0940531871192847,0.158,0.165,1
"Tarm1",0.172290178533964,0.0940492046311203,0.261,0.253,1
"Bphl",0.00438202266837603,0.0940337132421242,0.055,0.088,1
"Gm11520",0.0468298172247871,0.0940140776587328,0.007,0,1
"Cop1",0.0313948144586305,0.0939896481076165,0.173,0.197,1
"Pbx2",0.237377435086248,0.0939599016950642,0.143,0.157,1
"Stra6l",0.218364165443863,0.093933335103433,0.022,0.008,1
"Mybph",0.0468298172247911,0.0939173754365214,0.007,0,1
"Immt",0.18026023756603,0.0939145098245703,0.261,0.292,1
"Rnf4",0.00580521606372104,0.0938944163051592,0.176,0.239,1
"Hnrnpa3",4.87972884780842e-10,0.0938641643937035,0.607,0.796,8.17598568450301e-06
"Cep290",0.0782744259432319,0.093854261448687,0.04,0.057,1
"Grtp1",0.28751636986512,0.0938532834255906,0.022,0.011,1
"Sema3c",1.94846652625188e-05,0.093839429548469,0.029,0,0.326465566473502
"Tagln2",1.04806719114331e-12,0.0938225881900885,0.636,0.81,1.75603657876061e-08
"Bcas2",0.0158052665212692,0.0937181724977776,0.346,0.42,1
"Fhad1",0.537315922001225,0.0937161414379446,0.015,0.008,1
"Usp4",0.380622282950176,0.0936712842477504,0.195,0.157,1
"Commd3",0.0732038142725086,0.0935085731944789,0.371,0.426,1
"Rft1",0.195061280506952,0.0934771373487463,0.062,0.036,1
"5730480H06Rik",0.429093381630591,0.0934612982084863,0.044,0.03,1
"Paqr4",0.387920254397419,0.0933566897298752,0.015,0.006,1
"Ints1",0.173142286284527,0.0933332647292832,0.055,0.061,1
"Gm10138",0.0198738863963419,0.093275476255158,0.022,0.041,1
"Dpagt1",0.0993215754906102,0.0931495652982278,0.059,0.075,1
"Cep68",0.24209557841571,0.0931320476559842,0.022,0.014,1
"Slc38a7",0.0114624730819944,0.0931177000966819,0.092,0.105,1
"Pbxip1",6.76982870129837e-06,0.0931114584474448,0.265,0.376,0.113428479890254
"Polr1a",0.0592571599571626,0.0930610632027443,0.029,0.042,1
"Slc30a5",0.701219629964264,0.0929312491514043,0.11,0.108,1
"Pitpnb",0.00796100499230795,0.0929099863368242,0.121,0.167,1
"Tmem63a",0.395224714821188,0.0929093176112979,0.107,0.079,1
"Sra1",4.64666443321788e-07,0.0928732805978907,0.511,0.632,0.00778548625785656
"Hinfp",0.505739356166068,0.092850119633633,0.059,0.046,1
"Mfn2",0.00832214589924993,0.0928162759184014,0.04,0.063,1
"Klhl28",0.365251691922087,0.0927926089462266,0.07,0.058,1
"Uhrf1bp1l",0.267343751440006,0.0927737786958612,0.195,0.151,1
"Cep85",0.265935111377167,0.0927460336915149,0.048,0.03,1
"Gm47664",0.0045706903417013,0.0927411066590524,0.026,0.036,1
"Lrrc27",0.516123770782708,0.0927105041668132,0.011,0.008,1
"Trim44",0.0214625788352162,0.0927053617464824,0.074,0.093,1
"Taf1d",2.99919532759908e-06,0.0926394063563222,0.21,0.313,0.0502515177139226
"Uba3",0.192022748587822,0.0925052871564421,0.103,0.119,1
"Mtor",0.288992800398697,0.0924006901830041,0.081,0.061,1
"Mrps30",0.259284976397517,0.0923904301367823,0.136,0.143,1
"Eri2",0.00434752334909332,0.0922780344077684,0.011,0.014,1
"C330007P06Rik",0.437646876159635,0.0922637756896312,0.118,0.129,1
"Rinl",3.55813742437205e-07,0.0922403656754866,0.085,0.164,0.00596165925453536
"Kcnj2",0.134108735371993,0.0921672636310847,0.018,0.014,1
"Gosr2",0.00460187436683264,0.0921623841650921,0.217,0.288,1
"Sfswap",0.690354077772051,0.0921018381986704,0.136,0.135,1
"Myo5a",0.626231592804043,0.0920426167389028,0.232,0.223,1
"Zfp53",0.000467606982086802,0.0919934137176115,0.033,0.06,1
"Gm43118",0.19825217274285,0.0919440370617761,0.007,0.002,1
"Scpep1",0.00110849780769748,0.0919328901364139,0.408,0.484,1
"Nrd1",0.00161704705706389,0.0918955068372472,0.283,0.351,1
"Hscb",1.18658951606339e-06,0.0918824446955314,0.118,0.214,0.0198813073416421
"Fam102a",0.00618229032064373,0.0918384625728815,0.015,0.022,1
"Kdm5a",0.0425789564402472,0.0917305464285826,0.199,0.226,1
"4930459C07Rik",4.32965562286274e-07,0.0916222604877702,0.04,0,0.00725433799610652
"Tdrd7",0.01822190632162,0.0915491732855361,0.132,0.181,1
"Ccdc122",0.263825997895298,0.0915429118871197,0.018,0.014,1
"Mrpl48",0.00230502555013109,0.0914914656290921,0.202,0.281,1
"Bcar1",0.00328991626320842,0.091489956252343,0.015,0,1
"Retreg2",0.382721431111692,0.0914870052493705,0.191,0.195,1
"Tmem222",0.0400613794353829,0.0914494425046687,0.129,0.156,1
"Nhlrc3",0.367224751722812,0.0913713461432878,0.118,0.096,1
"A730011C13Rik",0.12151612740461,0.0913224680118544,0.011,0.002,1
"Cwc25",5.23434310310396e-09,0.09129990447223,0.107,0.223,8.77014186925068e-05
"Gm43768",0.272401884065834,0.0912651804097572,0.011,0.003,1
"Plxna4",0.192419063331827,0.0912617046916326,0.004,0,1
"Psma5",2.01338350403116e-05,0.0912445191527176,0.574,0.717,0.337342406100421
"Adsl",0.00199725005650456,0.0911870349098917,0.044,0.066,1
"Gm10134",0.396091750369295,0.091180943580832,0.033,0.03,1
"Itsn2",0.338440322766155,0.0911388190101589,0.243,0.274,1
"Clns1a",9.44528908543267e-06,0.0911306019399711,0.169,0.269,0.158255818626424
"Cdkn2aip",0.110225881954184,0.0910802833623219,0.066,0.077,1
"Edem3",0.591300528364655,0.0910637084769994,0.066,0.052,1
"Stradb",0.479760222214838,0.091024237920631,0.037,0.03,1
"Gm26626",0.157688168963353,0.0909779604219311,0.022,0.009,1
"Smpd5",0.000230879057373883,0.0909682479468332,0.059,0.011,1
"Pcdh7",0.000835824017915128,0.0909466890484683,0.051,0.009,1
"4932438A13Rik",0.0284964007757851,0.0908859189490113,0.129,0.151,1
"Dcaf13",0.0132100664438454,0.0908486524768281,0.11,0.153,1
"Igsf6",1.24765324426924e-14,0.0908218320513288,0.559,0.755,2.0904430107731e-10
"Dmtf1",0.260214361004644,0.0907998483429716,0.11,0.123,1
"Nfat5",0.605762886866049,0.090767737638609,0.147,0.149,1
"Mir155hg",5.85744962648052e-05,0.0907607445791102,0.044,0.003,0.981415684916811
"Nudt16l1",1.92553403176415e-05,0.0907330360816222,0.066,0.107,0.322623227022084
"Vps54",0.0152920044543505,0.0907229009990059,0.176,0.219,1
"Nup88",0.0159779725491514,0.09071766910224,0.103,0.131,1
"Trim13",0.00366106495677703,0.0907040415600877,0.055,0.014,1
"Gsap",0.165545429593735,0.0906983132722113,0.232,0.278,1
"Smim1",0.0966801490633866,0.0906972226397819,0.015,0.005,1
"Zeb1",0.00448701156996594,0.0906315667991515,0.022,0.016,1
"Pwp1",0.103485700128286,0.0905428472569981,0.059,0.066,1
"Pimreg",0.0468298172247842,0.0904912405665017,0.007,0,1
"Clip2",0.457870338769588,0.0904427400857265,0.066,0.049,1
"Dnajb1",0.549898979750789,0.0903505316731626,0.14,0.154,1
"Pde4a",0.269318060729405,0.0903140612188785,0.029,0.025,1
"Ttc4",0.00410484300502031,0.0902684093642637,0.051,0.097,1
"Parp3",0.00224538388626214,0.0902385036093413,0.062,0.086,1
"Tyw5",0.190545734576644,0.0902233896816706,0.044,0.055,1
"Pxn",0.00573242408751552,0.0902088911445426,0.221,0.292,1
"Taf5l",0.274971982893015,0.0901922209285056,0.07,0.052,1
"Kpna2",0.515715860279267,0.0901713886376188,0.048,0.039,1
"Brf1",0.01598284412325,0.0901113962456238,0.044,0.053,1
"Arap1",0.0471386218334482,0.0900918531347406,0.312,0.362,1
"Ankrd66",0.00558732444991058,0.090070548804829,0.085,0.033,1
"Sec24d",0.146347276524657,0.0900377435477759,0.077,0.058,1
"Cdc25c",0.567493303856584,0.0900226910723748,0.004,0.002,1
"Mipep",0.152159193370601,0.0899669741169979,0.022,0.011,1
"Fiz1",0.00282865928688896,0.0898933711971217,0.066,0.086,1
"Hs1bp3",0.268040154227449,0.0898625641427429,0.066,0.063,1
"Armc5",0.0261271035601557,0.0898385028764642,0.07,0.075,1
"Srsf11",0.00459284734334081,0.0897679469795658,0.382,0.486,1
"Lrp12",0.0032894247095794,0.0897516124918355,0.07,0.024,1
"Mfap3",0.257773644763786,0.0896660017655146,0.107,0.127,1
"Rora",0.0874616332886867,0.0896599807510674,0.055,0.03,1
"Prps1",0.231452278588385,0.0896480187099629,0.044,0.028,1
"Pdcd11",0.0186861309099842,0.0896136475921619,0.066,0.086,1
"Edem2",0.00362450460673273,0.0895948541978199,0.162,0.2,1
"Ube4a",0.0124536207158588,0.08956970573063,0.114,0.137,1
"Gss",0.502509608036418,0.089556545485348,0.029,0.028,1
"Srprb",0.146796429395165,0.0895079325236376,0.118,0.115,1
"Mettl21a",0.200813102979497,0.0894934435509079,0.059,0.053,1
"Skp2",0.387474406048676,0.0894491111268145,0.011,0.011,1
"Tubgcp5",0.33863724789319,0.089397400814802,0.092,0.09,1
"Klhl7",0.318556618515904,0.0892951286971725,0.04,0.022,1
"Llph",0.00736438589206105,0.0892852564146982,0.551,0.656,1
"Tmed4",0.00541929165833843,0.0892560405901091,0.085,0.121,1
"Dsn1",0.356636668380449,0.0891236522801949,0.011,0.006,1
"Spred3",2.32429824757579e-05,0.0890829205452147,0.048,0.003,0.389436171381324
"4931406C07Rik",0.154899224006155,0.0890691003828047,0.062,0.066,1
"Tut7",3.89515000426913e-05,0.0890546632332205,0.393,0.519,0.652632383215292
"Msh6",0.348108454235468,0.0889597210726942,0.044,0.033,1
"Gm10062",0.0167997654957757,0.0889487971220892,0.022,0.03,1
