"","gene","Mono/Mac 1","Microglia 1","Microglia 2","Granulocytes 1","Microglia 3","Granulocytes 2","Mono/Mac/DC","ILC/NKT/T/Tgd","Mono/Mac 2","ILC/NK","B Cells","Granulocytes 3","Monocytes","Basophils"
"6564","1600010M07Rik",0.228008224192092,0.228689183393094,0.147937391163234,0.860462079975934,0.0987448388549224,0.24428617113005,0.197073194186712,0.0198398510860079,0.155975723080722,0,0,0.239118901748781,0.401521575536354,0
"6565","Ipo7",0.258558675294333,0.376349874609951,0.240349134510372,0.215103726388054,0.328712776658175,0.114948830433045,0.303443841149905,0.234525477130674,0.259197159787497,0.237489475585161,0.128606276154633,0.116565044922945,0.447850029215057,0
"6566","Zfp143",0.149253658527799,0.176381592472432,0.0599509649013893,0.200459337652185,0.120206875114236,0.0803292035385022,0.0740866210975928,0.174972039913893,0.131444868622851,0.0686879130876087,0.116364810925268,0.130813634934367,0,0
"6567","Wee1",0.00148374451861571,0.0125516974881533,0.0462471469399975,0.00236995577204232,0.00692298746571384,0,0.0298563420549497,0.0110347574339437,0,0,0.139720980555484,0,0,0
"6568","Swap70",0.128449912056319,0.400081248538924,0.207546800091032,0.432164051435094,0.367138067135048,0.198263143071605,0.468297218146056,0.172053711066287,0.380607991170711,0.0471645086325184,1.28512924573586,0.247841128035859,0.17312437364767,0.598867035043051
"6569","Sbf2",0.0620839733807692,0.606551473767334,0.139563908218214,0.0668951072688542,0.372502040233737,0.0504414861626709,0.0628577143807246,0.0154685324045021,0.171749629305707,0,0.116635357884781,0,0,0
"6570","Adm",0.00975573994827245,0,0.00446805109128761,0.0067483014249758,0.00264617413329175,0,0.0557243168878099,0,0,0,0.219481983770305,0,0,0
"6571","Ampd3",0.137319216439437,0.0930014355404134,0.0297379637198786,0.49318051502264,0.04997665164337,0.685082242838576,0.0291138250320505,0.0357126518565467,0.0722700810670263,0.0242966276326254,0.21591547936376,0.54851808829264,0.193897301237116,0.10411541929847
"6572","Rnf141",0.111673605686388,0.233095881793799,0.151053767014981,0.320307433644201,0.178329616511579,0.229976391991557,0.223678723513036,0.0635036002145683,0.0639513981445724,0.077932363910355,0.0957569864170517,0.205297689513013,0.0934735665013131,0
"6573","Lyve1",0,0,0,0,0,0,0,0,0.026082334394073,0,0,0,0,0
"6574","Mrvi1",0,0,0,0,0,0,0.00323297917482388,0,0,0,0,0,0,0
