"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mtss1",6.05094237079789e-12,-0.147562186682024,0.009,0.04,8.3557463198348e-08,"Granulocytes 1","Mtss1"
"Rad21",6.05368434701027e-12,-0.0576881074895609,0.192,0.161,8.35953271478649e-08,"Granulocytes 1","Rad21"
"Ccdc88b",6.09148576292455e-12,-0.0763643567660955,0.213,0.186,8.41173269002251e-08,"Granulocytes 1","Ccdc88b"
"Adipor1",6.17111913925955e-12,0.109112356825578,0.757,0.655,8.52169841940351e-08,"Granulocytes 1","Adipor1"
"Ncoa3",6.36895992428405e-12,-0.273361383156242,0.128,0.183,8.79489675944385e-08,"Granulocytes 1","Ncoa3"
"Trappc10",6.49122637366611e-12,-0.164839904024752,0.124,0.134,8.96373449939554e-08,"Granulocytes 1","Trappc10"
"Nelfe",6.5528666830869e-12,-0.109063351663328,0.1,0.095,9.0488536026747e-08,"Granulocytes 1","Nelfe"
"Fes",6.67317627697411e-12,-0.13963480228714,0.166,0.165,9.21498912087354e-08,"Granulocytes 1","Fes"
"Bloc1s1",6.6937444154185e-12,-0.0435573582658308,0.104,0.083,9.2433916632514e-08,"Granulocytes 1","Bloc1s1"
"Nudt5",6.69757838169764e-12,-0.117563801862131,0.003,0.034,9.24868598728627e-08,"Granulocytes 1","Nudt5"
"Itgb1bp1",6.72251407197731e-12,-0.184832223185568,0.085,0.121,9.28311968199347e-08,"Granulocytes 1","Itgb1bp1"
"Rfxap",6.74529772075834e-12,-0.206596736753426,0.096,0.13,9.31458162259519e-08,"Granulocytes 1","Rfxap"
"Uap1l1",6.7581881641786e-12,-0.270654463837935,0.041,0.088,9.33238203591422e-08,"Granulocytes 1","Uap1l1"
"Cystm1",6.79097506978462e-12,-0.143617645378931,0.083,0.081,9.37765747386558e-08,"Granulocytes 1","Cystm1"
"Celf1",6.85387485330705e-12,-0.220090014207197,0.082,0.113,9.4645157849317e-08,"Granulocytes 1","Celf1"
"Zfp148",6.87527365880055e-12,-0.182772362861587,0.089,0.107,9.49406539543768e-08,"Granulocytes 1","Zfp148"
"Rac1",6.95465188864119e-12,0.132461423591137,0.802,0.704,9.60367879302462e-08,"Granulocytes 1","Rac1"
"Btbd1",6.9840521047677e-12,-0.112438703363912,0.18,0.164,9.64427755147371e-08,"Granulocytes 1","Btbd1"
"Man2b1",7.13824482469614e-12,-0.0830253685023155,0.13,0.113,9.85720227842289e-08,"Granulocytes 1","Man2b1"
"Yme1l1",7.26852203519424e-12,-0.105009616906488,0.24,0.23,1.00371020783997e-07,"Granulocytes 1","Yme1l1"
"Ptk2b",7.27950937527005e-12,-0.201654979649149,0.16,0.171,1.00522744963104e-07,"Granulocytes 1","Ptk2b"
"Eea1",7.46683384188689e-12,-0.0021410984649135,0.332,0.27,1.03109508522616e-07,"Granulocytes 1","Eea1"
"Cdc42",7.54679957448775e-12,-0.0877222881670083,0.858,0.811,1.04213755324101e-07,"Granulocytes 1","Cdc42"
"Rnmt",7.76032513014052e-12,-0.196742240270558,0.023,0.059,1.0716232972211e-07,"Granulocytes 1","Rnmt"
"Slc15a4",7.77663796286721e-12,-0.20212095652994,0.029,0.067,1.07387593629233e-07,"Granulocytes 1","Slc15a4"
"Tmem256",7.96353973571134e-12,-0.150127443102416,0.003,0.032,1.09968520210438e-07,"Granulocytes 1","Tmem256"
"Arih1",8.09038591546305e-12,-0.0592421113869295,0.232,0.201,1.11720139106629e-07,"Granulocytes 1","Arih1"
"Trmt6",8.09065794427949e-12,-0.135398356007926,0.006,0.04,1.11723895552555e-07,"Granulocytes 1","Trmt6"
"Creb1",8.11423623827353e-12,-0.0729959485910733,0.16,0.135,1.12049488214319e-07,"Granulocytes 1","Creb1"
"Selenow",8.14333467830031e-12,-0.188316258485084,0.013,0.054,1.12451308572649e-07,"Granulocytes 1","Selenow"
"Cmpk1",8.24527298805953e-12,-0.0924483263751665,0.177,0.159,1.13858974692114e-07,"Granulocytes 1","Cmpk1"
"Coa4",8.55125349366412e-12,-0.157925835807482,0.015,0.052,1.18084259494008e-07,"Granulocytes 1","Coa4"
"Zfr",8.60828235493773e-12,-0.1382300827984,0.156,0.147,1.18871771039335e-07,"Granulocytes 1","Zfr"
"Ube2v1",8.67662200014767e-12,-0.115679210220215,0.166,0.156,1.19815473200039e-07,"Granulocytes 1","Ube2v1"
"Myo18a",8.70406479780638e-12,-0.229887912525714,0.047,0.086,1.20194430792908e-07,"Granulocytes 1","Myo18a"
"Smarcc1",8.72637276807282e-12,-0.117307203537075,0.002,0.029,1.20502481554317e-07,"Granulocytes 1","Smarcc1"
"Taf1d",8.77067258474581e-12,-0.257156813164371,0.075,0.124,1.21114217722755e-07,"Granulocytes 1","Taf1d"
"Lats2",8.8735586650653e-12,-0.161670790281163,0.113,0.12,1.22534971605887e-07,"Granulocytes 1","Lats2"
"Uspl1",8.96604695061076e-12,-0.185669153001024,0.028,0.064,1.23812142340984e-07,"Granulocytes 1","Uspl1"
"Plekhm1",9.01697044183075e-12,-0.154872737972358,0.07,0.083,1.24515344831241e-07,"Granulocytes 1","Plekhm1"
"Nosip",9.12289231345646e-12,-0.170657519161699,0.049,0.072,1.2597801995652e-07,"Granulocytes 1","Nosip"
"Yrdc",9.16994844723106e-12,-0.194251977991589,0.033,0.077,1.26627818107814e-07,"Granulocytes 1","Yrdc"
"Tmem41b",9.21770289332309e-12,-0.0916685569858663,0.145,0.122,1.27287259253899e-07,"Granulocytes 1","Tmem41b"
"Trnt1",9.26689231337686e-12,-0.194474985449055,0.048,0.078,1.27966515955421e-07,"Granulocytes 1","Trnt1"
"Fbxw2",9.32591521999906e-12,-0.126219983022731,0.174,0.167,1.28781563272967e-07,"Granulocytes 1","Fbxw2"
"F7",9.37830341694106e-12,-0.179338357920897,0.015,0.051,1.29504991884539e-07,"Granulocytes 1","F7"
"Trim33",9.70180187668813e-12,-0.167922833544084,0.094,0.108,1.33972182115186e-07,"Granulocytes 1","Trim33"
"Tle3",9.72405683145012e-12,-0.170457304770547,0.226,0.216,1.34279500785495e-07,"Granulocytes 1","Tle3"
"Ahcyl1",9.82205467485202e-12,-0.207592466331043,0.069,0.099,1.35632753005031e-07,"Granulocytes 1","Ahcyl1"
"Rrm2b",1.01314407027123e-11,-0.188993943470006,0.086,0.105,1.39905064663754e-07,"Granulocytes 1","Rrm2b"
"Uvrag",1.02208258974097e-11,0.0797797299540355,0.191,0.126,1.4113938481733e-07,"Granulocytes 1","Uvrag"
"Cryzl1",1.02468719233452e-11,-0.208265727383719,0.093,0.125,1.41499054389474e-07,"Granulocytes 1","Cryzl1"
"Tbc1d10b",1.03912853103876e-11,-0.195139238753901,0.103,0.127,1.43493258851143e-07,"Granulocytes 1","Tbc1d10b"
"Ubn1",1.06414466813713e-11,0.028402357871418,0.166,0.116,1.46947737223056e-07,"Granulocytes 1","Ubn1"
"Inpp5a",1.07263123448173e-11,0.0447604863948254,0.089,0.05,1.48119647169581e-07,"Granulocytes 1","Inpp5a"
"Sgk1",1.11076642056962e-11,-0.131984643032842,0.123,0.108,1.53385735016459e-07,"Granulocytes 1","Sgk1"
