"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dhps.2",1.50618565759427e-10,0.258965775823025,0.117,0.061,2.07989177457193e-06,"Granulocytes 3","Dhps"
"Ift57.2",1.52252024978384e-10,0.215793374082,0.08,0.034,2.10244821292651e-06,"Granulocytes 3","Ift57"
"Mbnl2.2",1.54397338043821e-10,-0.453706163510917,0.295,0.412,2.13207284104713e-06,"Granulocytes 3","Mbnl2"
"Tmem97.2",1.5519352389724e-10,0.116223329827584,0.035,0.005,2.14306737149698e-06,"Granulocytes 3","Tmem97"
"Tor1b.2",1.55840685618271e-10,0.209399391671521,0.081,0.035,2.1520040277027e-06,"Granulocytes 3","Tor1b"
"Uap1l1.2",1.56674860687241e-10,0.296323764682151,0.137,0.066,2.16352315123011e-06,"Granulocytes 3","Uap1l1"
"Lmo4.2",1.56941779980206e-10,0.379352156330134,0.257,0.19,2.16720903974667e-06,"Granulocytes 3","Lmo4"
"Nagpa.2",1.57623870145167e-10,0.131973609052808,0.032,0.006,2.17662802283462e-06,"Granulocytes 3","Nagpa"
"Baz2b.2",1.5861658622428e-10,-0.351968648272519,0.243,0.362,2.19033643917108e-06,"Granulocytes 3","Baz2b"
"Atf6b.2",1.5932254667091e-10,0.215612369116977,0.107,0.048,2.20008504697859e-06,"Granulocytes 3","Atf6b"
"Rrp9.1",1.61915583733927e-10,0.139472538882354,0.046,0.011,2.2358922957818e-06,"Granulocytes 3","Rrp9"
"Senp6.2",1.62633367799622e-10,0.285442722766266,0.211,0.146,2.24580417594497e-06,"Granulocytes 3","Senp6"
"Vgll4.2",1.63127034763841e-10,0.24646741395183,0.094,0.045,2.25262122305388e-06,"Granulocytes 3","Vgll4"
"Atp6v0b.2",1.66485774920171e-10,0.228668548593196,0.759,0.699,2.29900206587264e-06,"Granulocytes 3","Atp6v0b"
"Nosip.2",1.6776414194555e-10,0.22078955768368,0.122,0.057,2.31665503612609e-06,"Granulocytes 3","Nosip"
"Ssrp1.1",1.68952635442501e-10,0.171361334492322,0.067,0.022,2.33306694282549e-06,"Granulocytes 3","Ssrp1"
"Slc25a28.2",1.7146581663965e-10,0.182930865207506,0.084,0.032,2.36777146197692e-06,"Granulocytes 3","Slc25a28"
"Pttg1ip.2",1.72800298144677e-10,0.288172002980598,0.358,0.287,2.38619931707984e-06,"Granulocytes 3","Pttg1ip"
"Dgcr2.1",1.7713918220068e-10,0.165924940317409,0.053,0.018,2.4461149670092e-06,"Granulocytes 3","Dgcr2"
"Cul3.2",1.78114368334296e-10,0.26367313972793,0.252,0.208,2.4595813123283e-06,"Granulocytes 3","Cul3"
"Med1.2",1.78725291326016e-10,0.239861647511233,0.101,0.049,2.46801754792096e-06,"Granulocytes 3","Med1"
"Pqlc3.2",1.79137181531507e-10,0.20189793671868,0.08,0.036,2.47370533976858e-06,"Granulocytes 3","Pqlc3"
"Pdcd4.2",1.80825194409883e-10,0.223345639245136,0.08,0.03,2.49701510960608e-06,"Granulocytes 3","Pdcd4"
"1110038B12Rik.1",1.82401440088233e-10,0.224908379522804,0.083,0.03,2.51878148617841e-06,"Granulocytes 3","1110038B12Rik"
"Trem3.2",1.83934107626007e-10,0.283617036212449,0.405,0.39,2.53994609220752e-06,"Granulocytes 3","Trem3"
"Alkbh1.1",1.86061014950757e-10,0.195996547064174,0.057,0.015,2.56931655545501e-06,"Granulocytes 3","Alkbh1"
"Nup214.2",1.92572106953754e-10,0.172194575130434,0.065,0.019,2.65922822492439e-06,"Granulocytes 3","Nup214"
"Srsf9.2",1.9415023637002e-10,0.263659983652818,0.199,0.144,2.68102061403361e-06,"Granulocytes 3","Srsf9"
"Mapkap1.2",1.95856232518493e-10,0.226766521201678,0.107,0.049,2.70457871484787e-06,"Granulocytes 3","Mapkap1"
"Trmt10c.1",1.98891054210548e-10,0.158331733291967,0.052,0.012,2.74648656759345e-06,"Granulocytes 3","Trmt10c"
"Timm17b.2",2.01032681797238e-10,0.269008786904484,0.195,0.129,2.77606030293806e-06,"Granulocytes 3","Timm17b"
"Gstp1.2",2.01433940983656e-10,0.188191735837799,0.053,0.015,2.7816012910433e-06,"Granulocytes 3","Gstp1"
"Cxcr1.2",2.02201808852824e-10,-0.356721367288258,0.043,0.114,2.79220477844864e-06,"Granulocytes 3","Cxcr1"
"Rtcb.2",2.02343839750551e-10,0.154528879738087,0.058,0.017,2.79416608311536e-06,"Granulocytes 3","Rtcb"
"Rnmt.2",2.05783103174676e-10,0.224188894575804,0.101,0.042,2.8416588717391e-06,"Granulocytes 3","Rnmt"
"Luc7l.2",2.05937210086053e-10,0.208547902938531,0.096,0.038,2.8437869340783e-06,"Granulocytes 3","Luc7l"
"Cebpd.2",2.05958449392245e-10,0.317258234410141,0.253,0.159,2.84408022765751e-06,"Granulocytes 3","Cebpd"
"Gm50340.1",2.099832275422e-10,0.131590338043821,0.036,0.006,2.89965838913024e-06,"Granulocytes 3","Gm50340"
"Uxt.2",2.11007070782705e-10,0.219930727393182,0.096,0.04,2.91379664043837e-06,"Granulocytes 3","Uxt"
"Rnf19b.2",2.12362000831338e-10,0.294849784702755,0.306,0.251,2.93250686947995e-06,"Granulocytes 3","Rnf19b"
"Fkbp4.2",2.17448789234453e-10,0.130986821041817,0.044,0.009,3.00275033053857e-06,"Granulocytes 3","Fkbp4"
"Scaf1.2",2.29948360514611e-10,0.25821145120189,0.16,0.093,3.17535691034627e-06,"Granulocytes 3","Scaf1"
"Mtln.2",2.31161104132025e-10,0.149778045526571,0.049,0.013,3.19210368695914e-06,"Granulocytes 3","Mtln"
"Rgs3.2",2.33886141028867e-10,0.209163136464321,0.056,0.022,3.22973372146763e-06,"Granulocytes 3","Rgs3"
"Psmd1.2",2.35715154197097e-10,0.236898845313764,0.112,0.049,3.25499056430771e-06,"Granulocytes 3","Psmd1"
"Ctr9.2",2.36054449710454e-10,0.215554208312278,0.086,0.034,3.25967589605167e-06,"Granulocytes 3","Ctr9"
"Tmem127.2",2.3651427955028e-10,0.265070821022645,0.157,0.101,3.26602568630982e-06,"Granulocytes 3","Tmem127"
"Tor2a.2",2.38184842492317e-10,0.208058310587516,0.095,0.042,3.28909448997641e-06,"Granulocytes 3","Tor2a"
"H2-D1.2",2.48429927942139e-10,0.229730046183094,0.933,0.879,3.430568874953e-06,"Granulocytes 3","H2-D1"
"Rce1.2",2.5245616661723e-10,0.16610896540909,0.058,0.017,3.48616720481733e-06,"Granulocytes 3","Rce1"
"Maff.2",2.63325167681315e-10,-0.286766310314701,0.169,0.273,3.63625724051128e-06,"Granulocytes 3","Maff"
"Thoc5.1",2.63729322494675e-10,0.149638929397902,0.037,0.007,3.64183821432896e-06,"Granulocytes 3","Thoc5"
"Chid1.2",2.64051088233879e-10,0.175135568866655,0.051,0.013,3.64628147742163e-06,"Granulocytes 3","Chid1"
"Grpel2.1",2.66249035244131e-10,0.211468833396173,0.08,0.029,3.6766329276862e-06,"Granulocytes 3","Grpel2"
"Fli1.2",2.66874792330158e-10,0.261172341053008,0.138,0.089,3.68527400728715e-06,"Granulocytes 3","Fli1"
"Tmem87a.2",2.68007821933611e-10,0.208039249783521,0.084,0.033,3.70092001308123e-06,"Granulocytes 3","Tmem87a"
"Entr1.2",2.68366209702085e-10,0.210775215593764,0.116,0.059,3.70586898977609e-06,"Granulocytes 3","Entr1"
"Trf.2",2.76642870316136e-10,-0.299300400392408,0.025,0.084,3.82016139619552e-06,"Granulocytes 3","Trf"
"Ptcd2.2",2.77048742280108e-10,0.133360538782018,0.036,0.007,3.82576608214601e-06,"Granulocytes 3","Ptcd2"
"Sfpq.2",2.84496685316822e-10,0.280252428481966,0.189,0.115,3.92861472754e-06,"Granulocytes 3","Sfpq"
"Bin2.2",2.89110741077328e-10,0.259443785176267,0.141,0.087,3.99233022353682e-06,"Granulocytes 3","Bin2"
"Erap1.1",2.91379899397492e-10,0.145610715693182,0.056,0.016,4.02366503077997e-06,"Granulocytes 3","Erap1"
"Cpeb4.2",2.97493870422488e-10,-0.587071735253871,0.128,0.221,4.10809285666414e-06,"Granulocytes 3","Cpeb4"
"Rnpc3.2",2.97497013065545e-10,0.204097374557601,0.079,0.031,4.10813625342211e-06,"Granulocytes 3","Rnpc3"
"Snx3.2",2.97712372420817e-10,0.233432344256672,0.586,0.533,4.11111015075906e-06,"Granulocytes 3","Snx3"
"0610030E20Rik.2",3.09641459734886e-10,0.258591356734013,0.144,0.082,4.27583891747904e-06,"Granulocytes 3","0610030E20Rik"
"Ptpn23.2",3.23149604813727e-10,-0.152517038768715,0.084,0.156,4.46237289287275e-06,"Granulocytes 3","Ptpn23"
"Wrap73.2",3.23206121299108e-10,0.15973180633106,0.057,0.017,4.46315332901938e-06,"Granulocytes 3","Wrap73"
"Acsl5.2",3.29313252418111e-10,0.278700213991035,0.14,0.078,4.54748670264169e-06,"Granulocytes 3","Acsl5"
"Tmem70.1",3.32553998725378e-10,0.184073655427284,0.068,0.024,4.59223816839874e-06,"Granulocytes 3","Tmem70"
"Dusp12.1",3.4446716809233e-10,0.113287659953527,0.032,0.004,4.75674712418699e-06,"Granulocytes 3","Dusp12"
"Mterf3.2",3.48122950667048e-10,0.187200432668731,0.069,0.027,4.80722982576127e-06,"Granulocytes 3","Mterf3"
"Vegfa.2",3.54475188762806e-10,-0.517446834794873,0.304,0.415,4.89494788162559e-06,"Granulocytes 3","Vegfa"
"Crlf2.2",3.55652523916086e-10,0.223892830582069,0.315,0.299,4.91120570275723e-06,"Granulocytes 3","Crlf2"
"2410004B18Rik.1",3.61635196935491e-10,0.233838597538815,0.122,0.06,4.99382043448219e-06,"Granulocytes 3","2410004B18Rik"
"Pgap2.2",3.63631949048404e-10,0.240885822320803,0.128,0.071,5.02139358440941e-06,"Granulocytes 3","Pgap2"
