"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rhov",3.17264347740466e-09,0.189961865007822,0.159,0.023,5.31576414639151e-05,"Mono/Mac 1","Rhov"
"Slc35a3",3.18963141012044e-09,-0.333847117547552,0.088,0.064,5.3442274276568e-05,"Mono/Mac 1","Slc35a3"
"Vkorc1",3.1985781336774e-09,-0.507090212466919,0.113,0.123,5.35921766297649e-05,"Mono/Mac 1","Vkorc1"
"S100a8",3.26914481315328e-09,-0.81636662122144,0.282,0.228,5.47745213443832e-05,"Mono/Mac 1","S100a8"
"Esrra",3.27140231128101e-09,0.0173445883579706,0.138,0.041,5.48123457255133e-05,"Mono/Mac 1","Esrra"
"Zc3hav1",3.29843323395839e-09,0.0365426835674886,0.364,0.181,5.52652488349728e-05,"Mono/Mac 1","Zc3hav1"
"Pak1ip1",3.32623829125006e-09,-0.00778874878491842,0.328,0.17,5.57311225698947e-05,"Mono/Mac 1","Pak1ip1"
"Tcea1",3.33935117245212e-09,-0.167831960217916,0.456,0.292,5.59508288944353e-05,"Mono/Mac 1","Tcea1"
"Asph",3.36167616247971e-09,-0.38600043451004,0.171,0.14,5.63248841023475e-05,"Mono/Mac 1","Asph"
"Spsb2",3.37226582722774e-09,-0.167095120760095,0.242,0.164,5.65023139352008e-05,"Mono/Mac 1","Spsb2"
"Acbd5",3.39099000316988e-09,-0.295069700906045,0.229,0.14,5.68160375031113e-05,"Mono/Mac 1","Acbd5"
"Ccdc86",3.45172608798811e-09,-0.12179168395778,0.387,0.234,5.78336706042408e-05,"Mono/Mac 1","Ccdc86"
"Prdx4",3.4943756915628e-09,-0.41987055678108,0.231,0.187,5.85482647121348e-05,"Mono/Mac 1","Prdx4"
"Gtf2a1",3.49541223733131e-09,-0.492112042585845,0.133,0.129,5.85656320364862e-05,"Mono/Mac 1","Gtf2a1"
"Zfp87",3.55818425129883e-09,-0.0480978899911983,0.13,0.041,5.96173771305119e-05,"Mono/Mac 1","Zfp87"
"Amfr",3.57060685801286e-09,-0.181858156024539,0.199,0.105,5.98255179060054e-05,"Mono/Mac 1","Amfr"
"Glrx2",3.57424502710524e-09,-0.0202938931211772,0.407,0.234,5.98864754291482e-05,"Mono/Mac 1","Glrx2"
"Tmx4",3.5822156527726e-09,-0.375727915088475,0.145,0.094,6.00200232622049e-05,"Mono/Mac 1","Tmx4"
"Ctdnep1",3.59313149912453e-09,-0.326749739304665,0.316,0.246,6.02029182678314e-05,"Mono/Mac 1","Ctdnep1"
"Impdh2",3.60005759017295e-09,-0.473316928826266,0.17,0.152,6.03189649233477e-05,"Mono/Mac 1","Impdh2"
"Birc6",3.6654907909194e-09,-0.0638595794495377,0.364,0.199,6.14152982018545e-05,"Mono/Mac 1","Birc6"
"Slc3a2",3.6818304405666e-09,-0.0384468565679845,0.592,0.38,6.16890690316933e-05,"Mono/Mac 1","Slc3a2"
"Chchd1",3.70865828209719e-09,0.145467824140366,0.57,0.339,6.21385695165385e-05,"Mono/Mac 1","Chchd1"
"Gnaq",3.79313997114039e-09,0.0133938743848646,0.316,0.152,6.35540602164572e-05,"Mono/Mac 1","Gnaq"
"Arcn1",3.80765883244474e-09,-0.121764699325311,0.336,0.193,6.37973237376117e-05,"Mono/Mac 1","Arcn1"
"Pin1",3.81823313410148e-09,0.0614386742172767,0.342,0.17,6.39744961618703e-05,"Mono/Mac 1","Pin1"
"Stmn1",3.85902171393051e-09,-0.808314894623128,0.039,0.099,6.46579088169058e-05,"Mono/Mac 1","Stmn1"
"Brd2",3.88471868606255e-09,-0.357691977227667,0.569,0.421,6.5088461584978e-05,"Mono/Mac 1","Brd2"
"Rap2c",3.91035750706451e-09,0.112858389320741,0.445,0.228,6.55180400308658e-05,"Mono/Mac 1","Rap2c"
"Ptpmt1",3.92061529390775e-09,-0.214869351707208,0.265,0.175,6.56899092494244e-05,"Mono/Mac 1","Ptpmt1"
"Vdac1",3.9757620942511e-09,0.0240275366640126,0.471,0.257,6.66138938891772e-05,"Mono/Mac 1","Vdac1"
"Csf2rb2",3.98103290126858e-09,0.168367725822626,0.44,0.222,6.67022062607551e-05,"Mono/Mac 1","Csf2rb2"
"Lsm3",3.98978309390825e-09,-0.0142005678159607,0.369,0.222,6.68488157384328e-05,"Mono/Mac 1","Lsm3"
"Mcfd2",4.00244452513625e-09,-0.282257958161962,0.286,0.187,6.70609580186579e-05,"Mono/Mac 1","Mcfd2"
"Sdhd",4.04433289428464e-09,0.290512888055771,0.495,0.246,6.77627976437391e-05,"Mono/Mac 1","Sdhd"
"AI413582",4.06944568922829e-09,0.0666915352153763,0.501,0.298,6.818356252302e-05,"Mono/Mac 1","AI413582"
"Pnisr",4.07295383893168e-09,-0.19171925422438,0.293,0.17,6.82423415713003e-05,"Mono/Mac 1","Pnisr"
"Uqcrc2",4.15384430519114e-09,-0.00486367120033526,0.419,0.234,6.95976613334775e-05,"Mono/Mac 1","Uqcrc2"
"Eif3l",4.15558872590896e-09,0.129951664022668,0.339,0.146,6.96268891026046e-05,"Mono/Mac 1","Eif3l"
"Cdc26",4.16495093049185e-09,0.212944009670989,0.389,0.17,6.97837528403909e-05,"Mono/Mac 1","Cdc26"
"Hacd4",4.22804322282929e-09,-0.134899726813381,0.535,0.357,7.08408641985047e-05,"Mono/Mac 1","Hacd4"
"Slco2b1",4.23144639454413e-09,-0.750814321070088,0.016,0.105,7.08978843405869e-05,"Mono/Mac 1","Slco2b1"
"Maf",4.23537719157525e-09,-0.697421727990849,0.476,0.45,7.09637448448433e-05,"Mono/Mac 1","Maf"
"Zranb1",4.23843971909065e-09,-0.283675452011583,0.145,0.082,7.10150574933639e-05,"Mono/Mac 1","Zranb1"
"Polr2i",4.29595549569319e-09,0.239450108057715,0.471,0.24,7.19787343303394e-05,"Mono/Mac 1","Polr2i"
"Peli2",4.29616548049385e-09,-0.164562528689238,0.072,0.018,7.19822526256745e-05,"Mono/Mac 1","Peli2"
"Golph3",4.38395612759535e-09,0.237881297406077,0.299,0.099,7.34531849178601e-05,"Mono/Mac 1","Golph3"
"Etv3",4.41147720712322e-09,-0.156818138833139,0.171,0.099,7.39143006053496e-05,"Mono/Mac 1","Etv3"
"Med30",4.42292579317476e-09,-0.139361714650284,0.32,0.187,7.41061216646431e-05,"Mono/Mac 1","Med30"
"Arf6",4.42979755160768e-09,-0.038914158733641,0.436,0.269,7.42212579771866e-05,"Mono/Mac 1","Arf6"
"Babam2",4.47241379723276e-09,-0.0613801056061706,0.258,0.129,7.49352931726349e-05,"Mono/Mac 1","Babam2"
"Rab24",4.47998159946492e-09,0.00735831441290158,0.429,0.24,7.50620916990348e-05,"Mono/Mac 1","Rab24"
"Diaph2",4.48001978292981e-09,-0.08749984453101,0.297,0.17,7.5062731462989e-05,"Mono/Mac 1","Diaph2"
"Rai14",4.50994487157362e-09,0.321779922074351,0.284,0.082,7.5564126323216e-05,"Mono/Mac 1","Rai14"
"Snhg8",4.51642800493202e-09,0.0536664256262906,0.398,0.228,7.56727512226361e-05,"Mono/Mac 1","Snhg8"
"Ankrd37",4.51799182585995e-09,0.18695958090765,0.274,0.088,7.56989530422834e-05,"Mono/Mac 1","Ankrd37"
"Fam174a",4.52618750123592e-09,0.178714642185668,0.48,0.251,7.58362715832078e-05,"Mono/Mac 1","Fam174a"
"Alg11",4.61589775461676e-09,-0.0264601735759685,0.031,0.006,7.73393668786037e-05,"Mono/Mac 1","Alg11"
"Fam111a",4.62328495418278e-09,-0.230447403174579,0.488,0.357,7.74631394073324e-05,"Mono/Mac 1","Fam111a"
"Tsc22d2",4.69124381919745e-09,-0.0731290825368464,0.129,0.064,7.86017901906533e-05,"Mono/Mac 1","Tsc22d2"
"Plek",4.70221928345869e-09,-0.157379333278839,0.704,0.509,7.87856840943504e-05,"Mono/Mac 1","Plek"
"Tfg",4.73205450297952e-09,-0.181999874417747,0.262,0.14,7.92855731974218e-05,"Mono/Mac 1","Tfg"
"Anapc1",4.75572388012821e-09,-0.445688933718599,0.132,0.123,7.96821536115482e-05,"Mono/Mac 1","Anapc1"
"Dhrs1",4.85743179461966e-09,0.0508191591063636,0.3,0.135,8.13862697188525e-05,"Mono/Mac 1","Dhrs1"
"Kmt2a",4.90377174133088e-09,-0.125366967719947,0.187,0.105,8.21626955259989e-05,"Mono/Mac 1","Kmt2a"
"Slc43a2",4.92684571274143e-09,0.0312646444865827,0.438,0.24,8.25492999169827e-05,"Mono/Mac 1","Slc43a2"
"Ppp1cb",4.97193874382096e-09,-0.0905893184735792,0.301,0.158,8.33048336527201e-05,"Mono/Mac 1","Ppp1cb"
"Golga4",5.03611184932048e-09,-0.0841868903901839,0.209,0.111,8.43800540353646e-05,"Mono/Mac 1","Golga4"
"Phf3",5.05581844367441e-09,-0.0749274056979961,0.312,0.152,8.47102380237647e-05,"Mono/Mac 1","Phf3"
"Cstf2",5.06008378518029e-09,-0.191645244106247,0.069,0.035,8.47817038206958e-05,"Mono/Mac 1","Cstf2"
"Acer3",5.0644964660624e-09,-0.00602269132892741,0.404,0.222,8.48556382888755e-05,"Mono/Mac 1","Acer3"
"Msantd2",5.12478655793123e-09,-0.0127981790076446,0.038,0.006,8.58657987781378e-05,"Mono/Mac 1","Msantd2"
"Ostc",5.15377770295497e-09,0.0480428329874263,0.64,0.409,8.63515454130106e-05,"Mono/Mac 1","Ostc"
"Rps12",5.16925486054473e-09,0.0736502222384319,0.989,0.889,8.6610865188427e-05,"Mono/Mac 1","Rps12"
"Lcorl",5.17831097071838e-09,-0.358389416931486,0.088,0.07,8.67626003143865e-05,"Mono/Mac 1","Lcorl"
"Pabpn1",5.2365247603277e-09,0.157643266254506,0.445,0.234,8.77379723592907e-05,"Mono/Mac 1","Pabpn1"
"Abhd2",5.23864199871001e-09,-0.188728745700218,0.09,0.047,8.77734466883862e-05,"Mono/Mac 1","Abhd2"
