"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rbm43",2.73478159116348e-16,0.0121458356925764,0.142,0.08,4.58212655599442e-12,"Mono/Mac 1","Rbm43"
"Secisbp2",2.78458424711858e-16,-0.0936574860888175,0.113,0.097,4.66557090604718e-12,"Mono/Mac 1","Secisbp2"
"Fbrs",2.80951516259281e-16,-0.0537969811409016,0.157,0.113,4.70734265492425e-12,"Mono/Mac 1","Fbrs"
"Lck",2.83122858579544e-16,-0.342538139084318,0.005,0.066,4.74372349550026e-12,"Mono/Mac 1","Lck"
"1700021F05Rik",2.8533650943055e-16,0.0157611813508229,0.11,0.06,4.78081321550886e-12,"Mono/Mac 1","1700021F05Rik"
"Zfp830",2.8551560882668e-16,-0.0911466809003788,0.118,0.1,4.78381402589103e-12,"Mono/Mac 1","Zfp830"
"Phf8",2.88488970435881e-16,0.0115630336520342,0.106,0.056,4.83363269965319e-12,"Mono/Mac 1","Phf8"
"Mad2l2",2.95662350135249e-16,0.00134214238497812,0.092,0.051,4.9538226765161e-12,"Mono/Mac 1","Mad2l2"
"Cxcl10",2.97664216184683e-16,1.14120566896496,0.151,0.055,4.98736394217436e-12,"Mono/Mac 1","Cxcl10"
"Mrps11",2.99944572162177e-16,-0.0642412964761432,0.144,0.116,5.02557130657727e-12,"Mono/Mac 1","Mrps11"
"Csad",3.04636662593509e-16,-0.250908821645977,0.034,0.102,5.10418728175424e-12,"Mono/Mac 1","Csad"
"Aebp2",3.06582375160449e-16,-0.158924839255331,0.164,0.143,5.13678769581332e-12,"Mono/Mac 1","Aebp2"
"Ticam2",3.10034694551061e-16,0.0119356795351544,0.125,0.072,5.19463130720302e-12,"Mono/Mac 1","Ticam2"
"Prpf18",3.1663392542477e-16,-0.125249094417291,0.142,0.123,5.30520142049203e-12,"Mono/Mac 1","Prpf18"
"Gm47283",3.17623870041345e-16,-0.272213504279585,0.141,0.181,5.32178794254273e-12,"Mono/Mac 1","Gm47283"
"Kdm2b",3.18764474487336e-16,-0.259543536994787,0.079,0.129,5.34089877003531e-12,"Mono/Mac 1","Kdm2b"
"Avpi1",3.28879809624763e-16,0.0513153876957164,0.164,0.085,5.5103812102629e-12,"Mono/Mac 1","Avpi1"
"Fkbp5",3.29678015388774e-16,-0.264658348111788,0.043,0.107,5.52375514783891e-12,"Mono/Mac 1","Fkbp5"
"Mast3",3.30606669267704e-16,-0.170347800944145,0.109,0.119,5.53931474358037e-12,"Mono/Mac 1","Mast3"
"Nlrx1",3.30796921037809e-16,0.0549084829311832,0.087,0.033,5.5425024119885e-12,"Mono/Mac 1","Nlrx1"
"Nudt5",3.31387138064626e-16,-0.187127694305967,0.109,0.124,5.55239149827281e-12,"Mono/Mac 1","Nudt5"
"Cinp",3.34156120518381e-16,-0.00181633876701848,0.104,0.061,5.59878579928547e-12,"Mono/Mac 1","Cinp"
"Tecpr1",3.37284421061649e-16,-0.309423685003437,0.047,0.106,5.65120047488794e-12,"Mono/Mac 1","Tecpr1"
"Zmynd8",3.49223636944096e-16,-0.144965406073598,0.213,0.203,5.85124203699832e-12,"Mono/Mac 1","Zmynd8"
"Nifk",3.52481410712378e-16,-0.14623004197213,0.134,0.12,5.90582603648589e-12,"Mono/Mac 1","Nifk"
"Plk3",3.59622676345237e-16,-0.0340909952568879,0.119,0.076,6.02547794216444e-12,"Mono/Mac 1","Plk3"
"Haghl",3.59900913772085e-16,-0.0117651404990429,0.126,0.08,6.03013981025129e-12,"Mono/Mac 1","Haghl"
"Zfp644",3.61116139754587e-16,-0.233440512631276,0.18,0.194,6.05050092158811e-12,"Mono/Mac 1","Zfp644"
"Tm9sf4",3.65007138527795e-16,-0.171221254507715,0.204,0.2,6.1156946060332e-12,"Mono/Mac 1","Tm9sf4"
"Tspan5",3.65972651199411e-16,0.0200529172720176,0.09,0.042,6.13187177084614e-12,"Mono/Mac 1","Tspan5"
