"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Wnk1",0.980991641401523,-0.0119078395065846,0.227,0.229,1
"Tbc1d7",0.929870113358739,-0.0119118907453802,0.003,0.004,1
"Exosc7",0.728610055297423,-0.0119176463637537,0.003,0.006,1
"Arf4os",0.284938760766645,-0.0119204089026921,0,0.002,1
"Ipo11",0.406191362823072,-0.0119325514763504,0.002,0.004,1
"Gm45805",0.929848285257211,-0.011937245958636,0.003,0.004,1
"Rad51b",0.563739720922098,-0.0119444873896616,0.005,0.002,1
"Sept2",0.99419141538401,-0.0119732254452783,0.017,0.017,1
"Acyp2",0.284938760766716,-0.0119774128064504,0,0.002,1
"Fasn",0.284938760766716,-0.0119774128064504,0,0.002,1
"Mtrf1",0.284938760766716,-0.0119774128064504,0,0.002,1
"Noc3l",0.284938760766716,-0.0119774128064504,0,0.002,1
"Olfr212",0.284938760766716,-0.0119774128064504,0,0.002,1
"Tacc2",0.100039053426452,-0.0119885828889167,0,0.004,1
"Mex3b",0.100039053426471,-0.0119893968467776,0,0.004,1
"Haao",0.954513386437266,-0.0119984536523815,0.003,0.004,1
"Wdcp",0.804297674556679,-0.0120215355090853,0.026,0.025,1
"Ccr3",0.225823109660238,-0.0120246861016087,0.003,0.01,1
"Mylpf",0.671304214377976,-0.0120318718680079,0.009,0.015,1
"Tsc2",0.955367515304802,-0.012035812527709,0.006,0.006,1
"Map2k3os",0.284938760766614,-0.0120446102905606,0,0.002,1
"S1pr3",0.284938760766621,-0.0120446102905606,0,0.002,1
"1700065D16Rik",0.743733828534444,-0.0120477095688102,0.017,0.023,1
"Tbc1d9",0.408293966039009,-0.0120540554098627,0.002,0.006,1
"Ppp2r5a",0.974805299860233,-0.0120599361708076,0.229,0.231,1
"Rtca",0.43756477955428,-0.0120744309127962,0.003,0.008,1
"Zfp524",0.972149286105294,-0.0121004006982842,0.017,0.019,1
"Cab39l",0.844229468820326,-0.0121025258866987,0.011,0.015,1
"Zfp330",0.940213573984131,-0.0121029337329693,0.038,0.042,1
"Bag2",0.100039053426436,-0.0121032158921385,0,0.004,1
