"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctxn1",0.777300225215303,-0.0358035763332815,0,0.011,1
"Adgrg3",0.777300225215341,-0.0358037181054229,0,0.011,1
"Gm43378",0.838173439065101,-0.0358121122397009,0,0.008,1
"Pfn2",0.777300225215485,-0.035824004389937,0,0.011,1
"Slc25a33",0.414329045952378,-0.0358336240246629,0.1,0.05,1
"Tlr2",0.777300225215514,-0.0358380462687945,0,0.011,1
"Ndrg1",0.777300225215514,-0.035861277883372,0,0.011,1
"Itpkc",0.724270952572739,-0.0358655482688347,0,0.015,1
"Zbtb39",0.777300225215514,-0.0358810331551497,0,0.011,1
"3222401L13Rik",0.777300225215447,-0.0359378168027471,0,0.011,1
"A830035O19Rik",0.838173439065027,-0.0359407780289634,0,0.008,1
"Kif3a",0.777300225215428,-0.0359935328077929,0,0.011,1
"Stc2",0.777300225215514,-0.0360472480882534,0,0.011,1
"2700097O09Rik",0.724270952572822,-0.0360528339711818,0,0.015,1
"Pus10",0.777300225215389,-0.0360532989066048,0,0.011,1
"Esm1",0.777300225215457,-0.0360628500528698,0,0.011,1
"1700041G16Rik",0.724270952572807,-0.0360708078598622,0,0.015,1
"Ciart",0.777300225215418,-0.0360984418647233,0,0.011,1
"Arhgap12",0.524037936332617,-0.0361074128488688,0.1,0.057,1
"Slc18a2",0.777300225215466,-0.0361114652670391,0,0.011,1
"Zfp942",0.405153294668456,-0.0361413042561467,0.1,0.057,1
"Tdrd9",0.724270952572732,-0.0361697571009552,0,0.015,1
"Aldh4a1",0.777300225215437,-0.036202109381544,0,0.011,1
"Pccb",0.724270952572717,-0.0362450072649697,0,0.015,1
"Rpsa",0.868191673626035,-0.036279997619042,1,1,1
"Atad3aos",0.777300225215399,-0.036340409010972,0,0.011,1
"Pcyt1b",0.777300225215524,-0.0363517407295925,0,0.011,1
"Fxr1",0.565154391585115,-0.0363692163054326,0.4,0.336,1
"Smpdl3b",0.777300225215543,-0.0363775552423725,0,0.011,1
"Fancb",0.838173439065067,-0.0364041959225698,0,0.008,1
"9530018F02Rik",0.777300225215534,-0.0364275735047528,0,0.011,1
"Slc46a3",0.724270952572853,-0.0365045026654185,0,0.015,1
"Nsmf",0.777300225215351,-0.0365413407941596,0,0.011,1
"Gm1123",0.838173439064904,-0.0365610678781447,0,0.008,1
"Apol7b",0.724270952572755,-0.0365789749998272,0,0.015,1
"Prrg1",0.777300225215495,-0.0365959531634644,0,0.011,1
"Tpk1",0.777300225215437,-0.0366638698739741,0,0.011,1
"Gm37305",0.777300225215534,-0.0366808243548244,0,0.011,1
"Ptk2",0.838173439065189,-0.0366817820450407,0,0.008,1
"Stfa2l1",0.910174453809669,-0.0367538300268034,0,0.004,1
"Mfsd11",0.77730022521538,-0.0367576876817187,0,0.011,1
